,Unnamed: 0,Height,Latitude,Longitude,Conf_land,Conf_ocean,Conf_inlandwater,sea_surface,x,y,labels
5446,8808,-1.5048050268098905,-18.64643244769188,-178.46133651326028,4.0,1.0,-1.0,51.99977675856553,-19866225.106943175,-2113352.963808517,-1
5458,8820,-1.4233675575344478,-18.646470751817237,-178.46134054048596,4.0,1.0,-1.0,51.99969108582718,-19866225.555251885,-2113357.4640227063,-1
5476,8839,-0.7870218418536297,-18.646521867688197,-178.46134595714094,4.0,1.0,-1.0,51.999576841791175,-19866226.158231158,-2113363.469444477,-1
5503,8868,-2.013565411037007,-18.646643137250205,-178.46135857502497,4.0,1.0,-1.0,51.99930618851158,-19866227.562847584,-2113377.7169809835,-1
5513,8878,-2.5858232869904896,-18.646681431702863,-178.46136254336545,4.0,1.0,-1.0,51.99922083407001,-19866228.00460123,-2113382.2160643423,-1
5514,8879,-3.0270731827799864,-18.646681402754194,-178.46136250355124,4.0,1.0,-1.0,51.99922089857319,-19866228.000169132,-2113382.212663262,-1
5636,9004,-0.7098071733435063,-18.64713537291204,-178.46141034550797,4.0,1.0,-1.0,51.9982131533252,-19866233.32591139,-2113435.5481309877,-1
5666,9035,-0.8155023930255538,-18.647224865453342,-178.46141974955384,4.0,1.0,-1.0,51.99801538755946,-19866234.37276499,-2113446.062333529,-1
5704,9076,-0.6069445727684979,-18.647346331071624,-178.4614325575691,4.0,1.0,-1.0,51.99774743694979,-19866235.798546724,-2113460.3329630923,-1
5707,9079,-0.5396636543860039,-18.64735911664944,-178.4614339105669,4.0,1.0,-1.0,51.99771926379072,-19866235.949161753,-2113461.835102707,-1
5760,9134,-2.7040365669615767,-18.647544376726813,-178.46145322981872,4.0,1.0,-1.0,51.99731171574695,-19866238.099771027,-2113483.600772383,-1
5788,9162,-1.1673931855605133,-18.647684853697907,-178.4614682989616,4.0,1.0,-1.0,51.99700352597847,-19866239.77726034,-2113500.1050205,-1
5882,9258,-0.9705174189521132,-18.648086719865592,-178.46151105581464,4.0,1.0,-1.0,51.99612588640229,-19866244.536931448,-2113547.319232783,-1
5888,9265,-0.5428102772152671,-18.648131396691266,-178.4615158325296,4.0,1.0,-1.0,51.99602868301554,-19866245.068672925,-2113552.5682038967,-1
5945,9323,-0.5838894520350095,-18.648392945873425,-178.46154349456089,4.0,1.0,-1.0,51.995461102876114,-19866248.14799616,-2113583.297006114,-1
6007,9387,-0.5156594594322996,-18.6485907920732,-178.4615642923245,4.0,1.0,-1.0,51.99503343370271,-19866250.46319262,-2113606.5415252433,-1
6046,9426,-2.4788348092104115,-18.648711972637308,-178.46157679332782,4.0,1.0,-1.0,51.994772197599566,-19866251.85479794,-2113620.778779181,-1
