,Height,Latitude,Longitude,Conf_land,Conf_ocean,Conf_inlandwater,sea_surface,x,y,labels
548,-1.3223461483190704,-18.638769332158105,-178.52209900336496,4.0,1.0,-1.0,52.12428847607907,-19872989.15640096,-2112452.6722870055,-1
555,-0.8032668118900119,-18.638813809424345,-178.5221034677238,4.0,1.0,-1.0,52.12421836922249,-19872989.65337111,-2112457.897525677,-1
562,-1.0972595597493182,-18.63886486215864,-178.52210879130686,4.0,1.0,-1.0,52.12413792943789,-19872990.24598967,-2112463.895259328,0
570,-0.5762029739189529,-18.638890235361046,-178.52211127225397,4.0,1.0,-1.0,52.124097963434906,-19872990.522167437,-2112466.876132855,0
573,-0.5129382690980719,-18.63889657423003,-178.52211189804945,4.0,4.0,-1.0,52.1240879802167,-19872990.59183067,-2112467.620830675,0
576,-1.0225881836873896,-18.638921873792448,-178.52211446775578,4.0,1.0,-1.0,52.12404814058709,-19872990.87788907,-2112470.593053444,0
582,-1.0947634521936607,-18.63897255604593,-178.5221195155611,4.0,1.0,-1.0,52.12396835536629,-19872991.439808186,-2112476.5472663697,0
583,-0.819011658994782,-18.63898525083423,-178.52212074995475,4.0,1.0,-1.0,52.12394837613692,-19872991.57722026,-2112478.038665853,0
585,-1.2432785119357277,-18.638985218846358,-178.52212078790527,4.0,1.0,-1.0,52.123948426477455,-19872991.581444893,-2112478.034907876,0
586,-0.9386132185252336,-18.638997916895473,-178.52212201929436,4.0,1.0,-1.0,52.12392844419901,-19872991.7185225,-2112479.5266905567,0
589,-0.7863495635107256,-18.638997928467614,-178.52212200568346,4.0,1.0,-1.0,52.12392842598956,-19872991.71700734,-2112479.528050065,0
592,-0.5751635848547494,-18.639016959201548,-178.52212387406084,4.0,1.0,-1.0,52.12389848219891,-19872991.92499416,-2112481.7638046793,0
594,-0.7591542317800304,-18.639023282286242,-178.52212451925138,4.0,1.0,-1.0,52.12388853421908,-19872991.99681644,-2112482.506648697,0
600,-0.8285796167207309,-18.639054975823004,-178.52212766900257,4.0,1.0,-1.0,52.1238386792279,-19872992.34744514,-2112486.230046047,0
602,-0.5489242844115552,-18.63906133833894,-178.52212827258978,4.0,1.0,-1.0,52.12382867234692,-19872992.41463616,-2112486.9775226647,0
605,-0.55810355068229,-18.639067678515907,-178.52212890187596,4.0,1.0,-1.0,52.12381870112131,-19872992.484687977,-2112487.722374898,0
608,-1.0457299698723546,-18.639080324679576,-178.52213020231525,4.0,1.0,-1.0,52.12379881399647,-19872992.629452217,-2112489.2080627317,0
613,-0.7349299896479806,-18.639105718275644,-178.5221326877944,4.0,1.0,-1.0,52.12375888675069,-19872992.90613449,-2112492.1913359137,0
615,-0.5829506797000477,-18.639112073079122,-178.52213330245917,4.0,1.0,-1.0,52.123748896175584,-19872992.974558663,-2112492.9379066825,0
616,-0.7226212139989912,-18.639118406310516,-178.52213394320486,4.0,1.0,-1.0,52.123738940035764,-19872993.045886144,-2112493.681943164,0
617,-0.8509964280873419,-18.63912474123534,-178.5221345829798,4.0,1.0,-1.0,52.123728981753175,-19872993.117105566,-2112494.426178619,0
627,-0.5983540172466064,-18.639175526818622,-178.52213958659704,4.0,1.0,-1.0,52.123649167363965,-19872993.674105685,-2112500.3925379813,0
628,-0.6080654328602577,-18.639181873750207,-178.5221402158497,4.0,1.0,-1.0,52.12363919490417,-19872993.74415377,-2112501.138184256,0
629,-0.5618770742313473,-18.63918187726064,-178.52214021172117,4.0,1.0,-1.0,52.12363918938854,-19872993.743694186,-2112501.1385966684,0
630,-0.6673029183293693,-18.639181869247874,-178.52214022114478,4.0,1.0,-1.0,52.12363920197822,-19872993.74474322,-2112501.1376553173,0
634,-0.5056727200778823,-18.6392009272337,-178.52214209211385,4.0,4.0,-1.0,52.12360926072233,-19872993.953018546,-2112503.376613943,0
635,-0.6377443757610308,-18.639207266516838,-178.52214273247802,4.0,1.0,-1.0,52.12359930236562,-19872994.024303555,-2112504.121361779,0
636,-0.5121047465978563,-18.63921997574646,-178.5221439785098,4.0,4.0,-1.0,52.12357933905105,-19872994.16301118,-2112505.614459911,0
641,-0.5436153995918858,-18.639232674759967,-178.5221452388411,4.0,1.0,-1.0,52.123559393873165,-19872994.303310618,-2112507.1063579503,0
658,-0.6050127434912156,-18.639347065496782,-178.52215657888914,4.0,1.0,-1.0,52.123379824980475,-19872995.56567899,-2112520.545148267,1
663,-0.5434239320226197,-18.639366151758626,-178.52215846645407,4.0,1.0,-1.0,52.123349880148,-19872995.77580176,-2112522.7874309807,1
668,-0.5047358460635678,-18.639391603969724,-178.52216098929412,4.0,4.0,-1.0,52.123309954989054,-19872996.05664303,-2112525.777595367,1
674,-0.5342019537574743,-18.639410694889303,-178.52216288850784,4.0,4.0,-1.0,52.12328001386413,-19872996.268062532,-2112528.020425866,1
675,-0.5074639273944967,-18.639417062316472,-178.52216351866554,4.0,4.0,-1.0,52.12327002859956,-19872996.33821137,-2112528.7684810273,1
677,-0.5662830349812111,-18.63942979004985,-178.52216478955933,4.0,1.0,-1.0,52.12325007081154,-19872996.479686618,-2112530.263754852,1
681,-0.5135050703964907,-18.63944252848844,-178.5221660512557,4.0,4.0,-1.0,52.1232300983379,-19872996.620138016,-2112531.760286454,1
