,Height,Latitude,Longitude,Conf_land,Conf_ocean,Conf_inlandwater,sea_surface,raw_elev,x,y,labels
4538,-0.8040060529374387,-18.62619158691998,-178.4919683095055,4.0,4.0,-1.0,51.902204451198486,50.830196380615234,-19869635.022903275,-2110975.0796810137,1
4542,-0.6140326547756558,-18.62619799609334,-178.49196900681045,4.0,4.0,-1.0,51.9022444470902,51.083534240722656,-19869635.100526907,-2110975.8325820104,1
4546,-0.6302503764136418,-18.626204418184095,-178.49196970267508,4.0,4.0,-1.0,51.90228451881194,51.06195068359375,-19869635.1779902,-2110976.587000474,1
4547,-0.7695936783202342,-18.62620442677207,-178.4919697017466,4.0,4.0,-1.0,51.90228457239573,50.87615966796875,-19869635.177886847,-2110976.588009322,1
4551,-0.7290715718963838,-18.62621084515704,-178.49197039786986,4.0,4.0,-1.0,51.9023246162069,50.93022918701172,-19869635.25537893,-2110977.3419924863,1
4554,-0.6409763575729812,-18.6262172603974,-178.4919710941868,4.0,4.0,-1.0,51.90236463561814,51.0477294921875,-19869635.33289258,-2110978.095606272,1
4555,-0.6547664921636169,-18.626217261247362,-178.4919710940949,4.0,4.0,-1.0,51.90236464091868,51.02934265136719,-19869635.33288235,-2110978.0957061206,1
4560,-0.6269787956207438,-18.626223680466715,-178.49197178993458,4.0,4.0,-1.0,51.902404680375184,51.06643295288086,-19869635.41034287,-2110978.849787357,1
4562,-0.8637099062698326,-18.62623011529091,-178.49197248382885,4.0,4.0,-1.0,51.90244481236368,50.750831604003906,-19869635.487586826,-2110979.6057017623,1
4563,-0.8480114688236426,-18.626230114323448,-178.49197248393344,4.0,4.0,-1.0,51.902444806331914,50.77176284790039,-19869635.487598468,-2110979.6055881106,1
4567,-0.7954673198364617,-18.626236530617085,-178.49197317956842,4.0,4.0,-1.0,51.9024848179688,50.841861724853516,-19869635.5650362,-2110980.359325715,1
4569,-0.6031006643543151,-18.62623651876102,-178.49197318085012,4.0,4.0,-1.0,51.90248474404143,51.098350524902344,-19869635.56517888,-2110980.3579329546,1
4572,-0.7311500556097599,-18.62624294643634,-178.49197387519493,4.0,4.0,-1.0,51.9025248218677,50.92765808105469,-19869635.64247299,-2110981.11300762,1
4586,-0.667346238283244,-18.626268618818454,-178.49197665489748,4.0,4.0,-1.0,51.902684846438206,51.01288986206055,-19869635.951908063,-2110984.1288051186,1
4587,-0.6666052331238461,-18.626268618772787,-178.4919766549024,4.0,4.0,-1.0,51.902684846150805,51.013877868652344,-19869635.95190861,-2110984.1287997547,1
4592,-0.8154985331257194,-18.62628146298031,-178.4919780424386,4.0,4.0,-1.0,51.902764879698225,50.815433502197266,-19869636.10636843,-2110985.6376403905,1
4595,-0.8796970455769042,-18.626281466937105,-178.49197804201089,4.0,4.0,-1.0,51.902764904356445,50.729835510253906,-19869636.106320817,-2110985.6381052057,1
4602,-0.6395254323797417,-18.62629428759557,-178.49197943163574,4.0,4.0,-1.0,51.90284477206296,51.05014419555664,-19869636.26101315,-2110987.1441795877,1
4605,-0.7404808859218974,-18.62630071140235,-178.49198012474545,4.0,4.0,-1.0,51.902884782710316,50.91557693481445,-19869636.338169772,-2110987.8988000634,1
4608,-0.7779345481303608,-18.62630071371075,-178.49198012449594,4.0,4.0,-1.0,51.90288479708397,50.865638732910156,-19869636.338141996,-2110987.8990712385,1
4609,-0.6747946411169323,-18.626300707353806,-178.49198012518306,4.0,4.0,-1.0,51.90288475749185,51.00315856933594,-19869636.338218484,-2110987.898324472,1
4613,-0.6817797640287608,-18.626307125107964,-178.49198081874346,4.0,4.0,-1.0,51.902924725654884,50.9938850402832,-19869636.415425275,-2110988.6522339582,1
4619,-0.666470280327303,-18.626319958493834,-178.49198220557082,4.0,4.0,-1.0,51.903004634430545,51.01437759399414,-19869636.569806192,-2110990.1598036876,1
4621,-0.7926814830334479,-18.626319966272742,-178.49198220473002,4.0,4.0,-1.0,51.90300468286296,50.84609603881836,-19869636.569712594,-2110990.160717497,1
4622,-0.746556057772068,-18.62631996342992,-178.4919822050373,4.0,4.0,-1.0,51.90300466516419,50.907596588134766,-19869636.5697468,-2110990.1603835435,1
4623,-0.7088649305906074,-18.626319961106823,-178.4919822052884,4.0,4.0,-1.0,51.903004650699586,50.95785140991211,-19869636.569774754,-2110990.160110642,1
4626,-0.7065345456012437,-18.62632637748476,-178.49198289836383,4.0,4.0,-1.0,51.90304459595791,50.96099853515625,-19869636.646927558,-2110990.913858547,1
4627,-0.671950490240306,-18.626326375353212,-178.49198289859422,4.0,4.0,-1.0,51.9030445826902,51.007110595703125,-19869636.646953203,-2110990.9136081496,1
4632,-0.6170272377994479,-18.626339203709165,-178.49198428445717,4.0,4.0,-1.0,51.9031244314865,51.080421447753906,-19869636.80122676,-2110992.420587176,1
4635,-0.6373202830181981,-18.626352036060435,-178.49198566908694,4.0,4.0,-1.0,51.903204286049004,51.053443908691406,-19869636.955363043,-2110993.9280356523,1
4639,-0.8464109450405886,-18.626358463592986,-178.49198635972277,4.0,4.0,-1.0,51.90324427681844,50.774696350097656,-19869637.032244273,-2110994.683094059,1
4640,-0.7177590631472412,-18.626371285041593,-178.49198774411954,4.0,4.0,-1.0,51.903324034879915,50.946311950683594,-19869637.186354615,-2110996.189261945,1
4647,-0.650270130181525,-18.62638410962604,-178.49198912731458,4.0,4.0,-1.0,51.90340379336703,51.036376953125,-19869637.340331182,-2110997.69579832,1
4650,-0.6880296540257405,-18.626396938477146,-178.491990508828,4.0,4.0,-1.0,51.90348355929018,50.98611068725586,-19869637.494120553,-2110999.2028360222,1
4651,-0.7214893270347602,-18.626396940539568,-178.4919905086051,4.0,4.0,-1.0,51.903483572114055,50.941497802734375,-19869637.49409574,-2110999.2030783016,1
4653,-0.6784166141524111,-18.626396937884696,-178.49199050889203,4.0,4.0,-1.0,51.90348355560491,50.99892807006836,-19869637.49412768,-2110999.2027664254,1
4658,-0.6662070548791235,-18.62640335017664,-178.49199119954594,4.0,4.0,-1.0,51.90352341814287,51.0152473449707,-19869637.57101092,-2110999.95603468,1
4661,-0.81404888239922,-18.626409772025298,-178.49199188890606,4.0,4.0,-1.0,51.90356333530508,50.81816482543945,-19869637.64775014,-2111000.7104256134,1
4662,-0.8615418770041288,-18.62640977495267,-178.4919918885897,4.0,4.0,-1.0,51.90356335350225,50.75484085083008,-19869637.64771492,-2111000.7107694983,1
4663,-0.8379155427010119,-18.626409773496437,-178.49199188874707,4.0,4.0,-1.0,51.90356334445096,50.78634262084961,-19869637.64773244,-2111000.7105984306,1
4668,-0.6678575698797431,-18.62641617544085,-178.49199257999385,4.0,4.0,-1.0,51.90360313313067,51.013126373291016,-19869637.72468168,-2111001.4626511903,1
4669,-0.6996133455904783,-18.626422589033414,-178.4919932696112,4.0,4.0,-1.0,51.90364298943314,50.9708251953125,-19869637.801449534,-2111002.216072318,1
4670,-0.631046049892575,-18.626422584807262,-178.49199327006792,4.0,4.0,-1.0,51.90364296317057,51.06224822998047,-19869637.801500376,-2111002.2155758617,1
4674,-0.658191117455317,-18.626435409757093,-178.49199464893482,4.0,4.0,-1.0,51.903722647573886,51.0261344909668,-19869637.954995133,-2111003.7221556115,1
4676,-0.8488007600917626,-18.62644824397765,-178.4919960257946,4.0,4.0,-1.0,51.90380237047066,50.77206802368164,-19869638.108266465,-2111005.2298245337,1
4681,-0.6184466809463629,-18.62645464029013,-178.4919967159971,4.0,4.0,-1.0,51.903842095591244,51.079246520996094,-19869638.185099456,-2111005.981215866,1
4683,-0.6766971249126073,-18.626454643880447,-178.49199671560916,4.0,4.0,-1.0,51.90384211788478,51.00157928466797,-19869638.185056273,-2111005.9816376297,1
4684,-0.6242631422692284,-18.62645464064856,-178.49199671595838,4.0,4.0,-1.0,51.90384209781405,51.07149124145508,-19869638.185095146,-2111005.9812579704,1
4686,-0.6671082156572083,-18.62646105299484,-178.49199740403918,4.0,4.0,-1.0,51.90388191775128,51.014404296875,-19869638.26169195,-2111006.7345328648,1
4698,-0.6742444511319263,-18.626480281994873,-178.49199946771208,4.0,4.0,-1.0,51.904001299019,51.005008697509766,-19869638.491418965,-2111008.9934133715,1
4699,-0.7629361880062788,-18.626480287461625,-178.4919994671214,4.0,4.0,-1.0,51.90400133295043,50.88675308227539,-19869638.49135321,-2111008.994055565,1
4707,-0.8793422331109468,-18.626493109610404,-178.49200084060078,4.0,4.0,-1.0,51.90408091408608,50.731624603271484,-19869638.64424824,-2111010.5003067805,1
4711,-0.7252932692399554,-18.626493100115265,-178.49200084162675,4.0,4.0,-1.0,51.90408085516174,50.9370231628418,-19869638.64436245,-2111010.499191364,1
4713,-0.6831258537195026,-18.626499505686905,-178.4920015287643,4.0,4.0,-1.0,51.9041206044385,50.9932861328125,-19869638.72085425,-2111011.2516705906,1
4716,-0.703856831957637,-18.626499506964652,-178.49200152862622,4.0,4.0,-1.0,51.9041206123693,50.96564483642578,-19869638.72083888,-2111011.2518206914,1
4721,-0.6352363854930445,-18.626505910563193,-178.49200221567082,4.0,4.0,-1.0,51.90416034463851,51.05717849731445,-19869638.797320336,-2111012.004068162,1
4723,-0.6262139200016463,-18.62651231749004,-178.4920029020469,4.0,4.0,-1.0,51.90420009279842,51.06924819946289,-19869638.87372737,-2111012.756706646,1
