,Height,Latitude,Longitude,Conf_land,Conf_ocean,Conf_inlandwater,sea_surface,x,y,labels
2382,-6.29949036561311,-18.661895588513318,-178.52354986662428,4.0,1.0,-1.0,52.07670391033571,-19873150.665760197,-2115169.755261104,4
2386,-6.367941191227601,-18.661927583918565,-178.52355324502105,4.0,1.0,-1.0,52.07660967830998,-19873151.041841604,-2115173.5146288425,4
2387,-6.306832600551843,-18.661927584598722,-178.523553239317,4.0,1.0,-1.0,52.07660967630545,-19873151.041206636,-2115173.514708759,4
2391,-3.7115394150964676,-18.66195961483916,-178.5235563690889,4.0,1.0,-1.0,52.07651539322433,-19873151.389611248,-2115177.278170242,-1
2393,-6.923693105457005,-18.661965980869006,-178.52355734341606,4.0,1.0,-1.0,52.07649666054749,-19873151.498072848,-2115178.026160596,4
2396,-6.136961512666858,-18.662004396904486,-178.52356131614783,4.0,1.0,-1.0,52.07638366076935,-19873151.94031533,-2115182.539935807,4
2397,-6.3849092116251995,-18.662004394144844,-178.52356133929234,4.0,1.0,-1.0,52.07638366888568,-19873151.94289176,-2115182.539611555,4
2402,-6.437493280926901,-18.66204921411864,-178.52356606497221,4.0,1.0,-1.0,52.07625192583873,-19873152.46895204,-2115187.80583265,4
2407,-6.609934042203804,-18.66208763710626,-178.52357012730488,4.0,1.0,-1.0,52.076139066362884,-19873152.921168845,-2115192.3204269344,4
2410,-6.618703481776265,-18.66210044635653,-178.5235714767899,4.0,1.0,-1.0,52.0761014583677,-19873153.071392827,-2115193.825478475,4
2412,-6.611529486127893,-18.66214528492086,-178.52357619630013,4.0,1.0,-1.0,52.07596987717443,-19873153.596766304,-2115199.0938868877,4
2415,-7.1523809942204934,-18.662170904136616,-178.52357894383405,4.0,1.0,-1.0,52.07589474156157,-19873153.902620383,-2115202.104075143,4
2418,-6.517245983795874,-18.66219013109848,-178.52358090717556,4.0,1.0,-1.0,52.07583837471611,-19873154.12117856,-2115204.3631912335,4
2419,-6.867859302236411,-18.66220934717938,-178.52358296231154,4.0,1.0,-1.0,52.0757820583367,-19873154.34995525,-2115206.6210290934,4
2420,-5.436950111569786,-18.66220936259025,-178.52358282869267,4.0,1.0,-1.0,52.07578201318029,-19873154.335080866,-2115206.622839829,-1
2422,-7.074820730885676,-18.662228536600487,-178.52358498503534,4.0,1.0,-1.0,52.07572583860929,-19873154.575123835,-2115208.875734755,4
2427,-6.5389608339019105,-18.662260593398305,-178.52358831171267,4.0,1.0,-1.0,52.07563196229239,-19873154.945447862,-2115212.6423233356,4
2431,-7.409657606970995,-18.66230546007089,-178.52359311979254,4.0,1.0,-1.0,52.07550065979922,-19873155.48068086,-2115217.914039366,4
2432,-6.522591938327878,-18.66231188070699,-178.5235937121244,4.0,1.0,-1.0,52.07548187805696,-19873155.546618946,-2115218.668447337,4
2435,-6.505509011082722,-18.662318292033568,-178.5235943856725,4.0,1.0,-1.0,52.07546312561681,-19873155.621597975,-2115219.4217614904,4
2437,-6.595211150619434,-18.662331114324573,-178.5235957443503,4.0,1.0,-1.0,52.075425627990626,-19873155.772845298,-2115220.928347332,4
2439,-6.579280974449375,-18.662331114501836,-178.52359574286328,4.0,1.0,-1.0,52.075425627472214,-19873155.77267976,-2115220.928368161,4
2440,-7.305297528094798,-18.662343929577915,-178.5235971608077,4.0,1.0,-1.0,52.07538815920452,-19873155.93052461,-2115222.4341063807,4
2442,-6.557380334555091,-18.66234393789983,-178.52359709099295,4.0,1.0,-1.0,52.07538813487554,-19873155.922752872,-2115222.435084184,4
2445,-6.635673734724605,-18.662382409177,-178.52360114837984,4.0,1.0,-1.0,52.07527570350976,-19873156.374419115,-2115226.9553602086,4
2448,-6.661162845050967,-18.662388820941057,-178.52360182566593,4.0,1.0,-1.0,52.07525697251913,-19873156.449814256,-2115227.7087260797,4
2451,-6.565032987797622,-18.66240164654755,-178.52360316645735,4.0,1.0,-1.0,52.07521951066701,-19873156.59907047,-2115229.215702107,4
2452,-6.512310316109051,-18.662408059362363,-178.52360383636704,4.0,1.0,-1.0,52.07520078280686,-19873156.67364448,-2115229.969191525,4
2454,-6.624924101812667,-18.662433706502398,-178.52360654581497,4.0,1.0,-1.0,52.07512590406077,-19873156.975258842,-2115232.9826654773,4
2456,-6.532802289226765,-18.662440120054768,-178.52360721191206,4.0,1.0,-1.0,52.07510718438243,-19873157.049408432,-2115233.7362416973,4
2461,-6.651189917186912,-18.662472183563363,-178.5236105961639,4.0,1.0,-1.0,52.07501362941002,-19873157.426141623,-2115237.503623476,4
2462,-6.809679148338546,-18.662472181800116,-178.52361061095834,4.0,1.0,-1.0,52.075013634552306,-19873157.427788533,-2115237.503416298,4
2464,-6.532546707235269,-18.66248501073083,-178.52361193411852,4.0,1.0,-1.0,52.07497621674338,-19873157.57508205,-2115239.010783655,4
2468,-6.635524068286941,-18.662497835562963,-178.5236132926327,4.0,1.0,-1.0,52.07493881915798,-19873157.726311155,-2115240.517669554,4
2475,-4.2300900861041555,-18.662555580395136,-178.5236191364841,4.0,1.0,-1.0,52.07477053594812,-19873158.376845717,-2115247.302545215,-1
