Filename, min_x, max_x, min_y, max_y, min_z, max_z
./20131106_ncmp_hi_molokai_4QFJ9031.laz, -157.1710846, -157.1614585, 21.0781232, 21.0791503, -43.75, -27.78
./20131106_ncmp_hi_molokai_4QFJ8933.laz, -157.1805901, -157.1708619, 21.0881847, 21.0969162, -2.20, 71.29
./20131106_ncmp_hi_molokai_4QFJ8932.laz, -157.1807011, -157.1709692, 21.0791563, 21.0882874, -29.12, 0.52
./20131106_ncmp_hi_molokai_4QFJ8931.laz, -157.1807179, -157.1710821, 21.0776829, 21.0792530, -43.89, -23.33
./20131106_ncmp_hi_molokai_4QFJ8833.laz, -157.1902139, -157.1804947, 21.0882894, 21.0962746, -3.88, 79.91
./20131106_ncmp_hi_molokai_4QFJ8832.laz, -157.1903231, -157.1805924, 21.0792606, 21.0883902, -26.20, 0.49
./20131106_ncmp_hi_molokai_4QFJ8831.laz, -157.1903519, -157.1807034, 21.0768770, 21.0793592, -40.41, -20.05
./20131106_ncmp_hi_molokai_4QFJ8733.laz, -157.1998362, -157.1901271, 21.0883914, 21.0955977, -3.26, 75.18
./20131106_ncmp_hi_molokai_4QFJ8732.laz, -157.1999430, -157.1902144, 21.0793607, 21.0884911, -22.59, 0.51
./20131106_ncmp_hi_molokai_4QFJ8731.laz, -157.1999793, -157.1903243, 21.0765573, 21.0794592, -31.81, -17.10
./20131106_ncmp_hi_molokai_4QFJ8633.laz, -157.2094595, -157.1997598, 21.0884945, 21.0949787, -3.57, 80.48
./20131106_ncmp_hi_molokai_4QFJ8632.laz, -157.2095681, -157.1998385, 21.0794640, 21.0885946, -20.46, 0.27
./20131106_ncmp_hi_molokai_4QFJ8631.laz, -157.2096109, -157.1999467, 21.0759719, 21.0795633, -27.11, -15.94
./20131106_ncmp_hi_molokai_4QFJ8533.laz, -157.2190821, -157.2093900, 21.0885957, 21.0944994, -3.68, 51.83
./20131106_ncmp_hi_molokai_4QFJ8532.laz, -157.2191894, -157.2094612, 21.0795639, 21.0886955, -18.22, 0.32
./20131106_ncmp_hi_molokai_4QFJ8531.laz, -157.2192423, -157.2095707, 21.0751314, 21.0796627, -27.59, -15.16
./20131106_ncmp_hi_molokai_4QFJ8433.laz, -157.2287053, -157.2190218, 21.0886968, 21.0938665, -2.45, 51.26
./20131106_ncmp_hi_molokai_4QFJ8432.laz, -157.2288123, -157.2190838, 21.0796653, 21.0887961, -17.98, 2.61
./20131106_ncmp_hi_molokai_4QFJ8431.laz, -157.2288727, -157.2191919, 21.0747008, 21.0797638, -27.92, -12.35
./20131106_ncmp_hi_molokai_4QFJ7834.laz, -157.2863421, -157.2828010, 21.0983858, 21.0992588, 50.34, 70.87
./20131106_ncmp_hi_molokai_4QFJ7734.laz, -157.2959667, -157.2863331, 21.0984221, 21.1012006, 42.44, 66.30
./20131105_ncmp_hi_molokai_4QGJ3543.laz, -156.7366369, -156.7269997, 21.1731225, 21.1795566, -59.24, -9.39
./20131105_ncmp_hi_molokai_4QGJ3542.laz, -156.7367746, -156.7270183, 21.1640919, 21.1732450, -51.32, 130.31
./20131105_ncmp_hi_molokai_4QGJ3444.laz, -156.7454802, -156.7453502, 21.1824390, 21.1824856, -43.24, -40.60
