,Height,Latitude,Longitude,Conf_land,Conf_ocean,Conf_inlandwater,geometry,sea_surface
260,0.14908875456339027,9.418756999351785,138.03441138732381,4.0,4.0,-1.0,POINT (138.0344113873238 9.418756999351785),63.57655428958242
261,-6.963862446938451,9.418757468351664,138.03441117033265,2.0,1.0,-1.0,POINT (138.0344111703326 9.418757468351664),63.57655224046903
263,-1.8256423810792979,9.418763576270367,138.03441067377847,2.0,1.0,-1.0,POINT (138.0344106737785 9.418763576270367),63.57652562254225
264,0.33923594442936106,9.418763433794375,138.0344107397956,4.0,2.0,-1.0,POINT (138.0344107397956 9.418763433794375),63.57652624198818
265,0.1260338219193056,9.418763447775184,138.03441073329893,4.0,4.0,-1.0,POINT (138.0344107332989 9.418763447775184),63.576526181190275
266,-4.445503972096803,9.418763749095145,138.0344105938479,2.0,1.0,-1.0,POINT (138.0344105938479 9.418763749095145),63.576524871226866
267,0.0751267037697466,9.418769898163001,138.03441007878152,4.0,4.0,-1.0,POINT (138.0344100787815 9.418769898163001),63.57649820568622
268,0.3784999442907398,9.418769878269178,138.03441008802585,4.0,2.0,-1.0,POINT (138.0344100880259 9.418769878269178),63.57649829174625
269,2.2158461349552763,9.41876975727122,138.03441014406238,2.0,1.0,-1.0,POINT (138.0344101440624 9.418769757271219),63.576498815236846
270,-10.610670183621263,9.41877060248316,138.0344097528199,0.0,1.0,-1.0,POINT (138.0344097528199 9.418770602483161),63.576495159592014
273,-3.7065642138096884,9.418776593786182,138.03440931089935,2.0,1.0,-1.0,POINT (138.0344093108993 9.418776593786182),63.576469316205475
274,-3.407260163861928,9.41877657364591,138.03440932006907,2.0,1.0,-1.0,POINT (138.0344093200691 9.418776573645911),63.57646940287668
275,0.28953077213820755,9.418782775882738,138.03440878073073,4.0,4.0,-1.0,POINT (138.0344087807307 9.418782775882738),63.576442777732154
276,-3.547217867060466,9.418795918133451,138.03440736084525,2.0,1.0,-1.0,POINT (138.0344073608453 9.418795918133451),63.576386792439735
281,0.1723031424964723,9.418808561593568,138.03440617303508,4.0,4.0,-1.0,POINT (138.0344061730351 9.418808561593568),63.576333486125804
282,0.11431510592487172,9.418808565396168,138.0344061712681,4.0,4.0,-1.0,POINT (138.0344061712681 9.418808565396168),63.576333470176905
283,-0.00034330359484193937,9.41882145717152,138.0344048684495,4.0,4.0,-1.0,POINT (138.0344048684495 9.41882145717152),63.57627967663575
284,-10.464911186227189,9.418822146995293,138.03440454922787,1.0,1.0,-1.0,POINT (138.0344045492279 9.418822146995293),63.576276814128505
286,0.04951468729110238,9.418827896567295,138.0344042208194,4.0,4.0,-1.0,POINT (138.0344042208194 9.418827896567295),63.576253018545685
288,-4.951875624744285,9.418834668299834,138.03440341954402,2.0,1.0,-1.0,POINT (138.034403419544 9.418834668299834),63.57622513672686
291,0.08355202200976318,9.418847219149935,138.0344022770062,4.0,4.0,-1.0,POINT (138.0344022770062 9.418847219149935),63.57617387222126
292,-3.068003085338716,9.418847426845952,138.03440218087343,2.0,1.0,-1.0,POINT (138.0344021808734 9.418847426845952),63.5761730283848
293,-3.2209333030179477,9.418847436874621,138.03440217621338,2.0,1.0,-1.0,POINT (138.0344021762134 9.418847436874621),63.57617298763944
297,0.1670354171126942,9.41885365500671,138.03440163205545,4.0,4.0,-1.0,POINT (138.0344016320554 9.418853655006711),63.576147792395204
300,0.09554971615607008,9.418860100082956,138.03440098285884,4.0,4.0,-1.0,POINT (138.0344009828588 9.418860100082956),63.5761218163243
301,0.4256108271790507,9.418860078438176,138.03440099291657,4.0,2.0,-1.0,POINT (138.0344009929166 9.418860078438176),63.57612190331565
305,-3.6528929016114824,9.4188667873574,138.03440022189884,2.0,1.0,-1.0,POINT (138.0344002218988 9.4188667873574),63.57609501335537
307,0.03309280293551207,9.418872983551527,138.03439968820646,4.0,4.0,-1.0,POINT (138.0343996882065 9.418872983551527),63.57607031436055
308,0.26470794143748744,9.418872968362692,138.03439969526428,4.0,4.0,-1.0,POINT (138.0343996952643 9.418872968362692),63.576070374751
310,-3.8748942580731183,9.41887324136721,138.0343995689743,2.0,1.0,-1.0,POINT (138.0343995689743 9.41887324136721),63.576069289498264
312,-3.3170986669039575,9.418879642772668,138.03439894033966,2.0,1.0,-1.0,POINT (138.0343989403397 9.418879642772668),63.576043915207265
313,0.20390877038389718,9.418879410846937,138.03439904773043,4.0,4.0,-1.0,POINT (138.0343990477304 9.418879410846937),63.57604483209434
315,0.08307326496151425,9.418892295288058,138.0343977538837,4.0,4.0,-1.0,POINT (138.0343977538837 9.418892295288058),63.5759941721044
316,-4.0241759677159585,9.418892566172303,138.0343976285796,2.0,1.0,-1.0,POINT (138.0343976285796 9.418892566172303),63.57599311307422
