,Height,Latitude,Longitude,Conf_land,Conf_ocean,Conf_inlandwater,sea_surface,raw_elev
3608,7.228890736641915,21.09341984630411,-157.15960201041452,4.0,4.0,-1.0,16.672159407215076,26.310680389404297
3609,4.74109720711931,21.093417033479405,-157.15960307969476,4.0,4.0,-1.0,16.672189400924253,22.99365234375
3610,5.568854420725984,21.09341796938374,-157.1596027239159,4.0,4.0,-1.0,16.672179421657347,24.097318649291992
3611,6.484135829985462,21.09339292562251,-157.15960339772047,4.0,4.0,-1.0,16.672446299155126,25.317960739135742
3612,0.902657379709126,21.09338661484012,-157.15960579668103,4.0,4.0,-1.0,16.672513498197077,17.876056671142578
3613,1.1387677395505307,21.09338036234488,-157.15960596163686,4.0,4.0,-1.0,16.672580056168954,18.190937042236328
3614,1.0928121437646041,21.093380310398942,-157.1596059813875,4.0,4.0,-1.0,16.67258060905442,18.129663467407227
3616,1.2482309351325966,21.093373967290145,-157.1596061808569,4.0,4.0,-1.0,16.672648110659793,18.336956024169922
3617,1.3469079958013026,21.093367560406328,-157.1596064045423,4.0,4.0,-1.0,16.67271626967704,18.46859359741211
3618,4.491246355679323,21.093371115362043,-157.1596050531178,4.0,4.0,-1.0,16.672678453251137,22.661006927490234
3619,1.2035517938857083,21.09336088002246,-157.15960673213235,4.0,4.0,-1.0,16.67278731559054,18.277523040771484
3621,0.9695518663611438,21.093354097542008,-157.15960709850745,4.0,4.0,-1.0,16.67285942354647,17.965595245361328
3622,0.8157657482261129,21.09334740559576,-157.15960743027276,4.0,4.0,-1.0,16.672930545537383,17.760618209838867
3624,1.2382635305730219,21.093341365885138,-157.15960751419465,4.0,4.0,-1.0,16.672994715583627,18.324012756347656
3626,1.2944584068427503,21.093334912973056,-157.1596077553515,4.0,4.0,-1.0,16.67306325478421,18.39900779724121
3631,1.3635090448260598,21.093321958447557,-157.15960825588746,4.0,4.0,-1.0,16.673200785080553,18.491212844848633
3633,7.265374346825411,21.09332211551093,-157.1596059841897,4.0,4.0,-1.0,16.673199118173216,26.36036491394043
3634,4.112502975120151,21.093318550647812,-157.15960733927525,4.0,4.0,-1.0,16.673236949107377,22.156574249267578
3635,7.361783528373053,21.093302679384973,-157.15960673646563,4.0,4.0,-1.0,16.6734052975371,26.489116668701172
3637,1.2896941066246654,21.09329581401411,-157.15960934617522,4.0,4.0,-1.0,16.673478078781045,18.393070220947266
3638,0.5991170680354116,21.093295033163024,-157.15960964298273,4.0,4.0,-1.0,16.67348635516828,17.472309112548828
3639,5.136067906925746,21.093300162784004,-157.15960769306125,4.0,4.0,-1.0,16.673431979404995,23.521522521972656
3640,7.334988073096611,21.093296133860985,-157.1596070122783,4.0,4.0,-1.0,16.673474688548595,26.453458786010742
3641,4.598326092811476,21.093286525788823,-157.15960845255404,4.0,4.0,-1.0,16.673576506174868,22.804677963256836
3642,3.727145359287533,21.093285540537746,-157.1596088270002,4.0,4.0,-1.0,16.67358694424911,21.64311408996582
3643,1.0822730122090434,21.093276036312144,-157.1596102276788,4.0,4.0,-1.0,16.673687609290937,18.116718292236328
3645,1.2787896406407526,21.09326974545993,-157.1596104069875,4.0,4.0,-1.0,16.673754213683424,18.378807067871094
3646,1.4272993179438345,21.093263400182643,-157.15961060681013,4.0,4.0,-1.0,16.67382137347886,18.576887130737305
3648,1.1856220653353375,21.093256614183083,-157.15961097417855,4.0,4.0,-1.0,16.673893174767727,18.254722595214844
3649,7.451129370048875,21.09325067409899,-157.1596088078957,4.0,4.0,-1.0,16.67395600595046,26.608795166015625
3650,1.2603135962308443,21.093237162660593,-157.15961173166386,4.0,4.0,-1.0,16.674098854724434,18.354516983032227
3651,1.144566905364627,21.0932305201063,-157.15961204431204,4.0,4.0,-1.0,16.674169047852047,18.200258255004883
3652,1.3657859574559552,21.093224259528977,-157.15961221193797,4.0,4.0,-1.0,16.674235183556448,18.495283126831055
3654,7.1192658711188415,21.09322425398483,-157.15961000181483,4.0,4.0,-1.0,16.674235242113355,26.166589736938477
3656,6.635632719266141,21.0932171960981,-157.15961047213113,4.0,4.0,-1.0,16.67430977600452,25.521820068359375
3660,4.9695911482886,21.093202292656752,-157.15961171255012,4.0,4.0,-1.0,16.67446707673662,23.300588607788086
3663,1.1240357792667055,21.093191435043604,-157.15961362724204,4.0,4.0,-1.0,16.674581602375838,18.173295974731445
3664,6.861262091231765,21.09319141301126,-157.159611423376,4.0,4.0,-1.0,16.674581834697165,25.82293128967285
3665,1.3100125466880854,21.09318513659437,-157.15961380910974,4.0,4.0,-1.0,16.674648010055535,18.42133140563965
3667,0.9126313910637691,21.093171279464787,-157.15961460302512,4.0,4.0,-1.0,16.6747940400237,17.89163589477539
3669,6.98717841598409,21.09317166826994,-157.15961224682815,4.0,4.0,-1.0,16.674789944052463,25.99102783203125
3670,6.887023121627863,21.093171555058863,-157.15961228986828,4.0,4.0,-1.0,16.67479113669833,25.85748863220215
3671,1.1157775912615762,21.09316502969902,-157.15961477014898,4.0,4.0,-1.0,16.674859868959174,18.16256332397461
3672,5.127000801461691,21.093163084338194,-157.1596133006044,4.0,4.0,-1.0,16.674880355334608,23.510881423950195
3673,3.578567022246716,21.09316133354289,-157.15961396606855,4.0,4.0,-1.0,16.674898791097803,21.446321487426758
3677,1.2416557941141946,21.093152210547466,-157.15961522459335,4.0,4.0,-1.0,16.67499482985295,18.330535888671875
3678,0.9221485617490544,21.09314536925865,-157.15961561593954,4.0,4.0,-1.0,16.67506682041858,17.904598236083984
3679,3.6721854964998784,21.093148478554998,-157.15961443408708,4.0,4.0,-1.0,16.675034104438964,21.57128143310547
3680,0.8286441491545702,21.093138783497768,-157.1596159100285,4.0,4.0,-1.0,16.675136099060182,17.77999496459961
3681,5.742404774482566,21.093144339344214,-157.1596137982878,4.0,4.0,-1.0,16.675077656036592,24.33161735534668
3682,1.3296650310003315,21.09311991137914,-157.1596164555844,4.0,4.0,-1.0,16.675334498664597,18.44822120666504
3683,4.329166762065142,21.093123302661592,-157.15961516654477,4.0,4.0,-1.0,16.675298860296607,22.447521209716797
3684,3.4539806254106225,21.093122313130724,-157.15961554266033,4.0,4.0,-1.0,16.67530925970641,21.280616760253906
3685,1.0877033016950008,21.093119637618383,-157.15961655958745,4.0,4.0,-1.0,16.6753373752872,18.125608444213867
3686,1.4282653432637744,21.093120022832377,-157.1596164132135,4.0,4.0,-1.0,16.675333327511908,18.579687118530273
3687,1.1434899015948758,21.093113221741987,-157.15961678896284,4.0,4.0,-1.0,16.675404781271936,18.200057983398438
3688,1.1534806826930435,21.09311323303541,-157.15961678466942,4.0,4.0,-1.0,16.675404662659275,18.21337890625
3689,5.118832295847824,21.093098281822417,-157.15961583977085,4.0,4.0,-1.0,16.67556165892165,23.50067138671875
3690,0.8569312418076152,21.09308050768184,-157.15961817682737,4.0,4.0,-1.0,16.675748146299156,17.818323135375977
3691,-209.96085087911342,21.092835654311287,-157.15970903185425,0.0,0.0,-1.0,16.678300439729355,-263.2695007324219
3692,5.080204567286273,21.093072328008493,-157.1596168669691,4.0,4.0,-1.0,16.675833912726375,23.449440002441406
3693,5.241984555588715,21.093066033354592,-157.15961704979622,4.0,4.0,-1.0,16.675899890440633,23.665212631225586
3694,1.4221422654372873,21.093055237927967,-157.1596189435345,4.0,4.0,-1.0,16.6760129952454,18.572202682495117
